FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,328
47003,BEDFORD,1362
47005,BENTON,47
47007,BLEDSOE,864
47009,BLOUNT,446
47011,BRADLEY,487
47015,CANNON,357
47017,CARROLL,428
47019,CARTER,439
47021,CHEATHAM,92
47023,CHESTER,82
47025,CLAIBORNE,1339
47027,CLAY,657
47029,COCKE,593
47031,COFFEE,821
47033,CROCKETT,120
47035,CUMBERLAND,1372
47037,DAVIDSON,62
47039,DECATUR,486
47041,DE KALB,222
47043,DICKSON,672
47045,DYER,262
47047,FAYETTE,409
47049,FENTRESS,387
47051,FRANKLIN,622
47053,GIBSON,819
47055,GILES,1233
47057,GRAINGER,1236
47059,GREENE,1422
47061,GRUNDY,393
47063,HAMBLEN,611
47065,HAMILTON,251
47067,HANCOCK,72
47069,HARDEMAN,711
47071,HARDIN,365
47073,HAWKINS,1583
47075,HAYWOOD,606
47077,HENDERSON,327
47079,HENRY,580
47081,HICKMAN,705
47083,HOUSTON,51
47085,HUMPHREYS,103
47087,JACKSON,495
47089,JEFFERSON,1464
47091,JOHNSON,467
47093,KNOX,450
47097,LAUDERDALE,31
47099,LAWRENCE,1014
47101,LEWIS,85
47103,LINCOLN,779
47105,LOUDON,223
47107,MCMINN,262
47109,MCNAIRY,555
47111,MACON,689
47113,MADISON,241
47115,MARION,662
47117,MARSHALL,1972
47119,MAURY,1392
47121,MEIGS,450
47123,MONROE,1091
47125,MONTGOMERY,515
47127,MOORE,814
47129,MORGAN,107
47131,OBION,386
47133,OVERTON,501
47135,PERRY,360
47137,PICKETT,295
47139,POLK,291
47141,PUTNAM,806
47143,RHEA,165
47145,ROANE,584
47147,ROBERTSON,554
47149,RUTHERFORD,1197
47151,SCOTT,76
47153,SEQUATCHIE,392
47155,SEVIER,388
47157,SHELBY,184
47159,SMITH,587
47161,STEWART,91
47163,SULLIVAN,2556
47165,SUMNER,813
47167,TIPTON,312
47169,TROUSDALE,553
47173,UNION,113
47175,VAN BUREN,1328
47177,WARREN,2330
47179,WASHINGTON,1382
47181,WAYNE,691
47183,WEAKLEY,1015
47185,WHITE,1327
47187,WILLIAMSON,1494
47189,WILSON,2039
