FIPS,COUNTY_NAME,VALUE
48013,ATASCOSA,24
48027,BELL,8
48031,BLANCO,23
48041,BRAZOS,155
48055,CALDWELL,73
48073,CHEROKEE,88
48091,COMAL,22
48099,CORYELL,58
48121,DENTON,6
48123,DE WITT,36
48127,DIMMIT,677
48139,ELLIS,24
48143,ERATH,12
48157,FORT BEND,18
48185,GRIMES,56
48215,HIDALGO,42
48225,HOUSTON,150
48231,HUNT,53
48249,JIM WELLS,56
48259,KENDALL,12
48269,KING,29
48281,LAMPASAS,1051
48297,LIVE OAK,17
48309,MCLENNAN,36
48325,MEDINA,14
48363,PALO PINTO,61
48367,PARKER,24
48439,TARRANT,54
48441,TAYLOR,16
48451,TOM GREEN,12
48477,WASHINGTON,87
48497,WISE,247
