FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,65048
48003,ANDREWS,11405
48005,ANGELINA,19274
48007,ARANSAS,2766
48009,ARCHER,78771
48011,ARMSTRONG,32511
48013,ATASCOSA,76451
48015,AUSTIN,63190
48017,BAILEY,130261
48019,BANDERA,9080
48021,BASTROP,76438
48023,BAYLOR,55371
48025,BEE,30815
48027,BELL,36868
48029,BEXAR,40997
48031,BLANCO,19216
48033,BORDEN,13299
48035,BOSQUE,51327
48037,BOWIE,62971
48039,BRAZORIA,68515
48041,BRAZOS,63394
48043,BREWSTER,27416
48045,BRISCOE,21864
48047,BROOKS,25593
48049,BROWN,47183
48051,BURLESON,56360
48053,BURNET,26903
48055,CALDWELL,39939
48057,CALHOUN,15204
48059,CALLAHAN,49682
48061,CAMERON,13401
48063,CAMP,20618
48065,CARSON,19944
48067,CASS,24471
48069,CASTRO,466891
48071,CHAMBERS,23700
48073,CHEROKEE,54597
48075,CHILDRESS,14343
48077,CLAY,77572
48079,COCHRAN,9927
48081,COKE,14496
48083,COLEMAN,44438
48085,COLLIN,41427
48087,COLLINGSWORTH,19812
48089,COLORADO,70367
48091,COMAL,16274
48093,COMANCHE,118048
48095,CONCHO,28305
48097,COOKE,84764
48099,CORYELL,54847
48101,COTTLE,21056
48103,CRANE,3188
48105,CROCKETT,17516
48107,CROSBY,10076
48109,CULBERSON,14862
48111,DALLAM,237612
48113,DALLAS,8671
48115,DAWSON,5584
48117,DEAF SMITH,592087
48119,DELTA,19091
48121,DENTON,38843
48123,DE WITT,90780
48125,DICKENS,24878
48127,DIMMIT,20897
48129,DONLEY,56647
48131,DUVAL,30841
48133,EASTLAND,43876
48135,ECTOR,8377
48137,EDWARDS,14708
48139,ELLIS,50563
48141,EL PASO,5667
48143,ERATH,183469
48145,FALLS,115649
48147,FANNIN,75049
48149,FAYETTE,96079
48151,FISHER,19981
48153,FLOYD,56790
48155,FOARD,20931
48157,FORT BEND,31605
48159,FRANKLIN,35254
48161,FREESTONE,69423
48163,FRIO,54219
48165,GAINES,11737
48167,GALVESTON,10374
48169,GARZA,11656
48171,GILLESPIE,46570
48173,GLASSCOCK,6071
48175,GOLIAD,40372
48177,GONZALES,122115
48179,GRAY,79822
48181,GRAYSON,53391
48183,GREGG,8424
48185,GRIMES,57350
48187,GUADALUPE,48840
48189,HALE,132013
48191,HALL,30150
48193,HAMILTON,66072
48195,HANSFORD,253167
48197,HARDEMAN,17596
48199,HARDIN,8005
48201,HARRIS,23894
48203,HARRISON,27839
48205,HARTLEY,396629
48207,HASKELL,26684
48209,HAYS,15842
48211,HEMPHILL,65656
