FIPS,COUNTY_NAME,VALUE
48021,BASTROP,125
48023,BAYLOR,650
48037,BOWIE,676
48045,BRISCOE,354
48051,BURLESON,850
48055,CALDWELL,110
48069,CASTRO,272913
48077,CLAY,381
48089,COLORADO,554
48111,DALLAM,111471
48117,DEAF SMITH,340873
48149,FAYETTE,90
48161,FREESTONE,200
48177,GONZALES,16647
48181,GRAYSON,258
48185,GRIMES,920
48195,HANSFORD,214948
48205,HARTLEY,265102
48219,HOCKLEY,84
48221,HOOD,90
48225,HOUSTON,140
48239,JACKSON,664
48253,JONES,600
48277,LAMAR,243
48309,MCLENNAN,696
48331,MILAM,240
48337,MONTAGUE,114
48369,PARMER,210035
48371,PECOS,436
48373,POLK,82
48381,RANDALL,157325
48387,RED RIVER,891
48417,SHACKELFORD,150
48421,SHERMAN,154230
48425,SOMERVELL,54
48437,SWISHER,177800
48459,UPSHUR,289
48467,VAN ZANDT,326
48485,WICHITA,957
48497,WISE,231
