FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,258
48005,ANGELINA,159
48013,ATASCOSA,390
48015,AUSTIN,444
48019,BANDERA,290
48021,BASTROP,2513
48025,BEE,399
48027,BELL,882
48029,BEXAR,789
48031,BLANCO,188
48035,BOSQUE,273
48037,BOWIE,497
48039,BRAZORIA,1682
48049,BROWN,404
48053,BURNET,581
48059,CALLAHAN,870
48061,CAMERON,936
48065,CARSON,330
48067,CASS,232
48071,CHAMBERS,46
48073,CHEROKEE,197
48077,CLAY,203
48083,COLEMAN,155
48085,COLLIN,1307
48089,COLORADO,1412
48091,COMAL,259
48093,COMANCHE,240
48097,COOKE,590
48099,CORYELL,1458
48113,DALLAS,931
48119,DELTA,74
48127,DIMMIT,33
48133,EASTLAND,536
48135,ECTOR,130
48137,EDWARDS,42
48139,ELLIS,1005
48143,ERATH,466
48145,FALLS,457
48147,FANNIN,1237
48149,FAYETTE,632
48153,FLOYD,349
48157,FORT BEND,280
48161,FREESTONE,456
48163,FRIO,57
48167,GALVESTON,63
48171,GILLESPIE,735
48175,GOLIAD,162
48177,GONZALES,2191795
48179,GRAY,55
48181,GRAYSON,1461
48183,GREGG,33
48185,GRIMES,1054
48187,GUADALUPE,942
48189,HALE,90
48193,HAMILTON,208
48199,HARDIN,260
48201,HARRIS,1496
48203,HARRISON,951
48207,HASKELL,18
48209,HAYS,1583
48213,HENDERSON,602
48215,HIDALGO,1059
48219,HOCKLEY,112
48221,HOOD,136
48223,HOPKINS,394365
48225,HOUSTON,224
48231,HUNT,1603
48237,JACK,144
48239,JACKSON,105
48241,JASPER,540
48243,JEFF DAVIS,18
48245,JEFFERSON,499
48249,JIM WELLS,171
48251,JOHNSON,2194
48253,JONES,382
48255,KARNES,139
48257,KAUFMAN,1204
48259,KENDALL,413
48265,KERR,182
48267,KIMBLE,60
48271,KINNEY,90
48273,KLEBERG,112
48277,LAMAR,303
48281,LAMPASAS,620
48283,LA SALLE,30
48285,LAVACA,292
48287,LEE,364
48291,LIBERTY,961
48293,LIMESTONE,237
48297,LIVE OAK,326
48299,LLANO,68
48307,MCCULLOCH,67
48309,MCLENNAN,2429
48313,MADISON,148
48317,MARTIN,80
48319,MASON,900
48321,MATAGORDA,122
48323,MAVERICK,30
48325,MEDINA,429
48329,MIDLAND,50
48333,MILLS,45
48335,MITCHELL,70
48337,MONTAGUE,563
48339,MONTGOMERY,2280
48343,MORRIS,40
48347,NACOGDOCHES,295927
48349,NAVARRO,509
48351,NEWTON,950
48355,NUECES,338
48361,ORANGE,484
48363,PALO PINTO,725
48367,PARKER,1545
48371,PECOS,90
48373,POLK,339
48375,POTTER,105
48379,RAINS,398
48381,RANDALL,70
48387,RED RIVER,538
48389,REEVES,174
48395,ROBERTSON,188
48397,ROCKWALL,76
48399,RUNNELS,21
48401,RUSK,456
48403,SABINE,42
48407,SAN JACINTO,449
48409,SAN PATRICIO,179
48411,SAN SABA,70
48413,SCHLEICHER,174
48415,SCURRY,706
48417,SHACKELFORD,15
48419,SHELBY,565342
48423,SMITH,604
48425,SOMERVELL,157
48429,STEPHENS,60
48439,TARRANT,472
48441,TAYLOR,772
48445,TERRY,45
48449,TITUS,79
48451,TOM GREEN,416
48453,TRAVIS,8636
48455,TRINITY,223
48457,TYLER,759
48459,UPSHUR,271
48463,UVALDE,60
48465,VAL VERDE,45
48467,VAN ZANDT,993
48469,VICTORIA,524
48471,WALKER,309
48473,WALLER,706
48477,WASHINGTON,136
48479,WEBB,10
48481,WHARTON,34
48483,WHEELER,44
48485,WICHITA,351
48487,WILBARGER,161
48489,WILLACY,102
48491,WILLIAMSON,1326
48493,WILSON,696
48497,WISE,2105
48503,YOUNG,677
