FIPS,COUNTY_NAME,VALUE
48021,BASTROP,28
48027,BELL,28
48029,BEXAR,21
48039,BRAZORIA,36
48041,BRAZOS,42
48051,BURLESON,53
48053,BURNET,44
48059,CALLAHAN,18
48085,COLLIN,8
48091,COMAL,42
48121,DENTON,25
48123,DE WITT,8
48133,EASTLAND,16
48139,ELLIS,23
48187,GUADALUPE,99
48201,HARRIS,10
48213,HENDERSON,8
48231,HUNT,17
48251,JOHNSON,40
48257,KAUFMAN,8
48265,KERR,52
48281,LAMPASAS,11
48285,LAVACA,8
48291,LIBERTY,12
48293,LIMESTONE,17
48309,MCLENNAN,14
48325,MEDINA,63
48339,MONTGOMERY,36
48347,NACOGDOCHES,24
48349,NAVARRO,49
48353,NOLAN,27
48361,ORANGE,42
48367,PARKER,718
48373,POLK,14
48429,STEPHENS,15
48439,TARRANT,18
48441,TAYLOR,56
48467,VAN ZANDT,6
48473,WALLER,6
48481,WHARTON,26
48491,WILLIAMSON,81
48497,WISE,8
