FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,31
48005,ANGELINA,201
48013,ATASCOSA,14
48015,AUSTIN,80
48019,BANDERA,28
48021,BASTROP,50
48025,BEE,65
48027,BELL,111
48029,BEXAR,118
48031,BLANCO,34
48035,BOSQUE,79
48037,BOWIE,44
48039,BRAZORIA,106
48041,BRAZOS,146
48051,BURLESON,178
48053,BURNET,38
48055,CALDWELL,86
48059,CALLAHAN,23
48061,CAMERON,52
48071,CHAMBERS,11
48073,CHEROKEE,44
48077,CLAY,13
48085,COLLIN,173
48089,COLORADO,60
48091,COMAL,124
48093,COMANCHE,38
48097,COOKE,170
48099,CORYELL,200
48113,DALLAS,41
48121,DENTON,310
48139,ELLIS,101
48141,EL PASO,22
48143,ERATH,49
48145,FALLS,8
48147,FANNIN,46
48149,FAYETTE,63
48155,FOARD,48
48157,FORT BEND,62
48161,FREESTONE,59
48163,FRIO,59
48165,GAINES,24
48167,GALVESTON,50
48171,GILLESPIE,46
48175,GOLIAD,12
48177,GONZALES,31
48181,GRAYSON,96
48183,GREGG,145
48185,GRIMES,218
48187,GUADALUPE,375
48193,HAMILTON,37
48199,HARDIN,39
48201,HARRIS,145
48203,HARRISON,116
48209,HAYS,30
48213,HENDERSON,125
48215,HIDALGO,26
48217,HILL,17
48221,HOOD,17
48223,HOPKINS,87
48225,HOUSTON,100
48231,HUNT,343
48239,JACKSON,34
48245,JEFFERSON,171
48249,JIM WELLS,123
48251,JOHNSON,255
48253,JONES,8
48255,KARNES,12
48257,KAUFMAN,221
48259,KENDALL,38
48265,KERR,187
48271,KINNEY,18
48277,LAMAR,137
48281,LAMPASAS,39
48285,LAVACA,6
48287,LEE,52
48289,LEON,23
48291,LIBERTY,255
48293,LIMESTONE,56
48297,LIVE OAK,8
48309,MCLENNAN,217
48313,MADISON,27
48319,MASON,57
48325,MEDINA,84
48335,MITCHELL,6
48337,MONTAGUE,58
48339,MONTGOMERY,83
48347,NACOGDOCHES,7
48349,NAVARRO,79
48351,NEWTON,24
48353,NOLAN,14
48355,NUECES,3
48361,ORANGE,48
48363,PALO PINTO,36
48365,PANOLA,56
48367,PARKER,165
48373,POLK,170
48379,RAINS,7
48387,RED RIVER,24
48395,ROBERTSON,36
48397,ROCKWALL,22
48401,RUSK,92
48407,SAN JACINTO,25
48409,SAN PATRICIO,132
48413,SCHLEICHER,48
48419,SHELBY,28
48423,SMITH,166
48439,TARRANT,76
48441,TAYLOR,17
48449,TITUS,32
48453,TRAVIS,66
48455,TRINITY,14
48457,TYLER,126
48459,UPSHUR,34
48467,VAN ZANDT,128
48469,VICTORIA,3
48471,WALKER,56
48473,WALLER,79
48477,WASHINGTON,105
48481,WHARTON,11
48485,WICHITA,11
48491,WILLIAMSON,150
48493,WILSON,48
48497,WISE,278
48499,WOOD,125
48503,YOUNG,55
48505,ZAPATA,12
