FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,26
48011,ARMSTRONG,80
48015,AUSTIN,49
48019,BANDERA,1387
48021,BASTROP,29
48025,BEE,20
48027,BELL,154
48029,BEXAR,114
48031,BLANCO,131
48035,BOSQUE,61
48037,BOWIE,30
48039,BRAZORIA,154
48043,BREWSTER,137
48047,BROOKS,82
48049,BROWN,572
48051,BURLESON,84
48053,BURNET,261
48055,CALDWELL,50
48057,CALHOUN,24
48059,CALLAHAN,70
48061,CAMERON,250
48077,CLAY,62
48081,COKE,34
48085,COLLIN,16
48089,COLORADO,58
48091,COMAL,120
48093,COMANCHE,251
48095,CONCHO,1291
48099,CORYELL,999
48105,CROCKETT,1861
48119,DELTA,38
48121,DENTON,245
48125,DICKENS,48
48127,DIMMIT,30
48133,EASTLAND,294
48135,ECTOR,54
48139,ELLIS,86
48141,EL PASO,93
48143,ERATH,102
48147,FANNIN,61
48149,FAYETTE,31
48161,FREESTONE,28
48171,GILLESPIE,3913
48175,GOLIAD,38
48181,GRAYSON,123
48185,GRIMES,6
48187,GUADALUPE,777
48193,HAMILTON,240
48201,HARRIS,374
48203,HARRISON,6
48209,HAYS,52
48213,HENDERSON,112
48215,HIDALGO,373
48217,HILL,28
48221,HOOD,39
48223,HOPKINS,128
48227,HOWARD,39
48231,HUNT,146
48241,JASPER,32
48245,JEFFERSON,18
48249,JIM WELLS,315
48251,JOHNSON,154
48253,JONES,47
48257,KAUFMAN,89
48259,KENDALL,3605
48265,KERR,1955
48277,LAMAR,24
48281,LAMPASAS,654
48285,LAVACA,27
48287,LEE,14
48291,LIBERTY,246
48299,LLANO,64
48309,MCLENNAN,277
48315,MARION,12
48319,MASON,487
48325,MEDINA,46
48327,MENARD,605
48329,MIDLAND,36
48331,MILAM,8
48333,MILLS,2284
48339,MONTGOMERY,220
48349,NAVARRO,204
48351,NEWTON,30
48353,NOLAN,70
48355,NUECES,36
48363,PALO PINTO,168
48367,PARKER,372
48371,PECOS,1251
48375,POTTER,12
48381,RANDALL,12
48385,REAL,823
48401,RUSK,50
48407,SAN JACINTO,56
48409,SAN PATRICIO,105
48415,SCURRY,112
48419,SHELBY,30
48425,SOMERVELL,10
48427,STARR,160
48439,TARRANT,76
48441,TAYLOR,90
48451,TOM GREEN,1579
48453,TRAVIS,37
48455,TRINITY,3
48457,TYLER,78
48459,UPSHUR,51
48461,UPTON,138
48463,UVALDE,366
48465,VAL VERDE,5615
48467,VAN ZANDT,283
48469,VICTORIA,64
48471,WALKER,307
48473,WALLER,11
48477,WASHINGTON,12
48479,WEBB,63
48489,WILLACY,76
48491,WILLIAMSON,92
48493,WILSON,230
48497,WISE,182
48499,WOOD,36
