FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,709
48003,ANDREWS,448
48005,ANGELINA,1504
48009,ARCHER,227
48011,ARMSTRONG,12
48013,ATASCOSA,2238
48015,AUSTIN,1966
48017,BAILEY,527
48019,BANDERA,4576
48021,BASTROP,2202
48023,BAYLOR,130
48025,BEE,1192
48027,BELL,7568
48029,BEXAR,4457
48031,BLANCO,10274
48033,BORDEN,402
48035,BOSQUE,5000
48037,BOWIE,732
48039,BRAZORIA,2945
48041,BRAZOS,1113
48043,BREWSTER,469
48047,BROOKS,329
48049,BROWN,6855
48051,BURLESON,843
48053,BURNET,10363
48055,CALDWELL,2390
48057,CALHOUN,1013
48059,CALLAHAN,1939
48061,CAMERON,1658
48063,CAMP,202
48065,CARSON,194
48067,CASS,884
48071,CHAMBERS,528
48073,CHEROKEE,965
48077,CLAY,681
48081,COKE,4867
48083,COLEMAN,3409
48085,COLLIN,4934
48089,COLORADO,701
48091,COMAL,5761
48093,COMANCHE,4998
48095,CONCHO,9357
48097,COOKE,2436
48099,CORYELL,11206
48103,CRANE,178
48105,CROCKETT,35566
48107,CROSBY,421
48109,CULBERSON,186
48113,DALLAS,962
48117,DEAF SMITH,92
48119,DELTA,446
48121,DENTON,3186
48123,DE WITT,771
48125,DICKENS,598
48127,DIMMIT,820
48129,DONLEY,195
48131,DUVAL,1217
48133,EASTLAND,3477
48135,ECTOR,761
48137,EDWARDS,17316
48139,ELLIS,2998
48141,EL PASO,2089
48143,ERATH,6736
48145,FALLS,1361
48147,FANNIN,2795
48149,FAYETTE,1677
48151,FISHER,463
48155,FOARD,61
48157,FORT BEND,402
48159,FRANKLIN,159
48161,FREESTONE,812
48163,FRIO,915
48167,GALVESTON,547
48169,GARZA,802
48171,GILLESPIE,18226
48175,GOLIAD,955
48177,GONZALES,1138
48179,GRAY,65
48181,GRAYSON,3981
48185,GRIMES,1599
48187,GUADALUPE,3402
48189,HALE,1418
48191,HALL,94
48193,HAMILTON,7069
48197,HARDEMAN,52
48199,HARDIN,752
48201,HARRIS,2271
48203,HARRISON,855
48205,HARTLEY,104
48207,HASKELL,319
48209,HAYS,4772
48211,HEMPHILL,48
48213,HENDERSON,1501
48215,HIDALGO,5180
48217,HILL,4939
48219,HOCKLEY,413
48221,HOOD,2286
48223,HOPKINS,1256
48225,HOUSTON,462
48227,HOWARD,753
48229,HUDSPETH,1930
48231,HUNT,5190
48235,IRION,5799
48237,JACK,1839
48241,JASPER,764
48245,JEFFERSON,372
48247,JIM HOGG,92
48249,JIM WELLS,2112
48251,JOHNSON,6680
48253,JONES,1615
48255,KARNES,1726
48257,KAUFMAN,2752
48259,KENDALL,10852
48263,KENT,88
48265,KERR,9280
48267,KIMBLE,21930
48271,KINNEY,7473
48273,KLEBERG,1270
48277,LAMAR,1230
48279,LAMB,384
48281,LAMPASAS,5590
48283,LA SALLE,250
48285,LAVACA,913
48287,LEE,935
48291,LIBERTY,1753
48293,LIMESTONE,1130
48297,LIVE OAK,715
48299,LLANO,1945
48303,LUBBOCK,1185
48307,MCCULLOCH,7156
48309,MCLENNAN,5514
48315,MARION,399
48317,MARTIN,82
48319,MASON,6563
48321,MATAGORDA,637
48323,MAVERICK,1910
48325,MEDINA,3810
48327,MENARD,11215
48329,MIDLAND,1850
48331,MILAM,6044
48333,MILLS,10760
48335,MITCHELL,482
48337,MONTAGUE,1522
48339,MONTGOMERY,1776
48341,MOORE,112
48343,MORRIS,868
48345,MOTLEY,467
48347,NACOGDOCHES,443
48349,NAVARRO,2574
48351,NEWTON,320
48353,NOLAN,1295
48355,NUECES,511
48361,ORANGE,833
48363,PALO PINTO,2776
48365,PANOLA,817
48367,PARKER,10576
48371,PECOS,8867
48373,POLK,874
48375,POTTER,188
48377,PRESIDIO,644
48379,RAINS,577
48381,RANDALL,2286
48383,REAGAN,347
48385,REAL,2657
48389,REEVES,976
48391,REFUGIO,75
48395,ROBERTSON,1001
48397,ROCKWALL,402
48401,RUSK,1024
48405,SAN AUGUSTINE,119
48407,SAN JACINTO,616
48409,SAN PATRICIO,688
48411,SAN SABA,4956
48413,SCHLEICHER,24307
48415,SCURRY,588
48417,SHACKELFORD,76
48419,SHELBY,1050
48423,SMITH,3067
48425,SOMERVELL,1301
48427,STARR,2313
48429,STEPHENS,1420
48431,STERLING,3258
48433,STONEWALL,430
48435,SUTTON,39682
48437,SWISHER,198
48439,TARRANT,1858
48441,TAYLOR,1946
48445,TERRY,192
48451,TOM GREEN,34223
48453,TRAVIS,5456
48455,TRINITY,385
48457,TYLER,783
48459,UPSHUR,1447
48461,UPTON,2200
48463,UVALDE,10556
48465,VAL VERDE,35364
48467,VAN ZANDT,2843
48469,VICTORIA,1277
48471,WALKER,858
48473,WALLER,1832
48475,WARD,285
48477,WASHINGTON,792
48479,WEBB,2526
48485,WICHITA,523
48487,WILBARGER,348
48489,WILLACY,464
48491,WILLIAMSON,7371
48493,WILSON,2643
48495,WINKLER,134
48497,WISE,6490
48499,WOOD,1152
48501,YOAKUM,250
48503,YOUNG,1258
48505,ZAPATA,1340
48507,ZAVALA,940
