FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,104
48003,ANDREWS,10
48015,AUSTIN,48
48019,BANDERA,477
48021,BASTROP,867
48025,BEE,91
48027,BELL,404
48029,BEXAR,575
48031,BLANCO,133
48035,BOSQUE,326
48037,BOWIE,159
48039,BRAZORIA,280
48041,BRAZOS,275
48043,BREWSTER,214
48049,BROWN,419
48051,BURLESON,166
48053,BURNET,682
48055,CALDWELL,311
48057,CALHOUN,20
48059,CALLAHAN,115
48061,CAMERON,423
48065,CARSON,12
48067,CASS,80
48071,CHAMBERS,31
48073,CHEROKEE,136
48077,CLAY,209
48081,COKE,47
48085,COLLIN,917
48089,COLORADO,114
48091,COMAL,662
48093,COMANCHE,77
48099,CORYELL,333
48119,DELTA,96
48121,DENTON,835
48123,DE WITT,16
48133,EASTLAND,175
48135,ECTOR,76
48139,ELLIS,524
48141,EL PASO,64
48143,ERATH,236
48145,FALLS,142
48147,FANNIN,727
48149,FAYETTE,74
48151,FISHER,111
48159,FRANKLIN,44
48161,FREESTONE,138
48169,GARZA,28
48171,GILLESPIE,525
48181,GRAYSON,720
48185,GRIMES,166
48187,GUADALUPE,258
48189,HALE,85
48193,HAMILTON,164
48199,HARDIN,88
48201,HARRIS,698
48203,HARRISON,145
48209,HAYS,363
48213,HENDERSON,470
48215,HIDALGO,439
48217,HILL,277
48221,HOOD,435
48223,HOPKINS,497
48225,HOUSTON,30
48231,HUNT,831
48241,JASPER,34
48245,JEFFERSON,46
48247,JIM HOGG,15
48249,JIM WELLS,314
48251,JOHNSON,578
48253,JONES,60
48255,KARNES,50
48257,KAUFMAN,697
48259,KENDALL,259
48265,KERR,1201
48273,KLEBERG,6
48277,LAMAR,265
48281,LAMPASAS,325
48283,LA SALLE,60
48285,LAVACA,94
48287,LEE,216
48291,LIBERTY,288
48297,LIVE OAK,208
48299,LLANO,22
48303,LUBBOCK,313
48309,MCLENNAN,375
48315,MARION,24
48319,MASON,22
48325,MEDINA,879
48329,MIDLAND,32
48331,MILAM,533
48333,MILLS,175
48337,MONTAGUE,283
48339,MONTGOMERY,281
48341,MOORE,40
48343,MORRIS,12
48347,NACOGDOCHES,26
48349,NAVARRO,298
48351,NEWTON,348
48353,NOLAN,24
48355,NUECES,56
48361,ORANGE,107
48363,PALO PINTO,245
48367,PARKER,733
48373,POLK,143
48375,POTTER,54
48379,RAINS,40
48381,RANDALL,92
48383,REAGAN,30
48385,REAL,28
48395,ROBERTSON,109
48397,ROCKWALL,25
48401,RUSK,63
48405,SAN AUGUSTINE,21
48407,SAN JACINTO,211
48409,SAN PATRICIO,54
48411,SAN SABA,29
48415,SCURRY,91
48419,SHELBY,144
48427,STARR,204
48439,TARRANT,390
48441,TAYLOR,96
48451,TOM GREEN,440
48453,TRAVIS,60
48455,TRINITY,100
48457,TYLER,302
48459,UPSHUR,302
48463,UVALDE,325
48465,VAL VERDE,5
48467,VAN ZANDT,791
48469,VICTORIA,63
48471,WALKER,295
48473,WALLER,539
48477,WASHINGTON,77
48479,WEBB,220
48487,WILBARGER,42
48489,WILLACY,93
48491,WILLIAMSON,827
48493,WILSON,428
48497,WISE,765
48499,WOOD,380
48507,ZAVALA,9
