FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,839
48003,ANDREWS,458
48005,ANGELINA,1594
48007,ARANSAS,114
48009,ARCHER,227
48011,ARMSTRONG,92
48013,ATASCOSA,2428
48015,AUSTIN,2063
48017,BAILEY,943
48019,BANDERA,6440
48021,BASTROP,3098
48023,BAYLOR,130
48025,BEE,1303
48027,BELL,8126
48029,BEXAR,5146
48031,BLANCO,10538
48033,BORDEN,434
48035,BOSQUE,5387
48037,BOWIE,921
48039,BRAZORIA,3379
48041,BRAZOS,1388
48043,BREWSTER,820
48047,BROOKS,411
48049,BROWN,7846
48051,BURLESON,1093
48053,BURNET,11306
48055,CALDWELL,2751
48057,CALHOUN,1057
48059,CALLAHAN,2124
48061,CAMERON,2331
48063,CAMP,202
48065,CARSON,206
48067,CASS,964
48069,CASTRO,459
48071,CHAMBERS,559
48073,CHEROKEE,1101
48075,CHILDRESS,111
48077,CLAY,952
48081,COKE,4948
48083,COLEMAN,3488
48085,COLLIN,5867
48089,COLORADO,873
48091,COMAL,6543
48093,COMANCHE,5326
48095,CONCHO,10648
48097,COOKE,3065
48099,CORYELL,12538
48103,CRANE,178
48105,CROCKETT,37427
48107,CROSBY,421
48109,CULBERSON,186
48111,DALLAM,264
48113,DALLAS,1176
48115,DAWSON,117
48117,DEAF SMITH,157
48119,DELTA,580
48121,DENTON,4266
48123,DE WITT,787
48125,DICKENS,646
48127,DIMMIT,850
48129,DONLEY,195
48131,DUVAL,1292
48133,EASTLAND,3946
48135,ECTOR,891
48137,EDWARDS,29518
48139,ELLIS,3608
48141,EL PASO,2246
48143,ERATH,7074
48145,FALLS,1503
48147,FANNIN,3583
48149,FAYETTE,1782
48151,FISHER,574
48153,FLOYD,452
48155,FOARD,61
48157,FORT BEND,572
48159,FRANKLIN,203
48161,FREESTONE,978
48163,FRIO,950
48165,GAINES,110
48167,GALVESTON,624
48169,GARZA,830
48171,GILLESPIE,22664
48173,GLASSCOCK,1284
48175,GOLIAD,993
48177,GONZALES,1236
48179,GRAY,65
48181,GRAYSON,4824
48183,GREGG,379
48185,GRIMES,1771
48187,GUADALUPE,4437
48189,HALE,1503
48191,HALL,94
48193,HAMILTON,7473
48197,HARDEMAN,52
