FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,12
48005,ANGELINA,27
48015,AUSTIN,21
48019,BANDERA,23
48021,BASTROP,40
48027,BELL,75
48029,BEXAR,7
48031,BLANCO,166
48035,BOSQUE,86
48049,BROWN,40
48053,BURNET,46
48055,CALDWELL,25
48059,CALLAHAN,22
48065,CARSON,8
48081,COKE,19
48083,COLEMAN,9
48085,COLLIN,149
48089,COLORADO,8
48091,COMAL,52
48093,COMANCHE,10
48095,CONCHO,6
48097,COOKE,90
48099,CORYELL,48
48113,DALLAS,72
48121,DENTON,122
48125,DICKENS,13
48129,DONLEY,26
48131,DUVAL,15
48133,EASTLAND,78
48137,EDWARDS,6
48139,ELLIS,52
48141,EL PASO,12
48143,ERATH,93
48147,FANNIN,33
48149,FAYETTE,22
48157,FORT BEND,31
48161,FREESTONE,13
48171,GILLESPIE,92
48173,GLASSCOCK,12
48177,GONZALES,21
48181,GRAYSON,32
48185,GRIMES,12
48187,GUADALUPE,166
48201,HARRIS,16
48209,HAYS,71
48213,HENDERSON,27
48217,HILL,88
48219,HOCKLEY,14
48221,HOOD,67
48223,HOPKINS,13
48231,HUNT,213
48237,JACK,62
48241,JASPER,8
48251,JOHNSON,187
48253,JONES,13
48257,KAUFMAN,89
48259,KENDALL,55
48265,KERR,44
48267,KIMBLE,88
48277,LAMAR,28
48281,LAMPASAS,23
48289,LEON,4
48293,LIMESTONE,39
48303,LUBBOCK,60
48305,LYNN,10
48307,MCCULLOCH,27
48309,MCLENNAN,52
48319,MASON,6
48325,MEDINA,30
48327,MENARD,13
48331,MILAM,22
48333,MILLS,112
48349,NAVARRO,93
48363,PALO PINTO,35
48365,PANOLA,10
48367,PARKER,357
48373,POLK,21
48375,POTTER,5
48379,RAINS,36
48381,RANDALL,13
48385,REAL,12
48387,RED RIVER,12
48397,ROCKWALL,83
48401,RUSK,50
48405,SAN AUGUSTINE,6
48415,SCURRY,18
48423,SMITH,46
48425,SOMERVELL,21
48429,STEPHENS,8
48435,SUTTON,57
48439,TARRANT,10
48441,TAYLOR,41
48451,TOM GREEN,150
48453,TRAVIS,29
48457,TYLER,44
48459,UPSHUR,28
48461,UPTON,27
48467,VAN ZANDT,61
48469,VICTORIA,27
48471,WALKER,38
48473,WALLER,45
48479,WEBB,16
48485,WICHITA,6
48491,WILLIAMSON,30
48497,WISE,72
48499,WOOD,19
48503,YOUNG,40
