FIPS,COUNTY_NAME,VALUE
48013,ATASCOSA,31
48021,BASTROP,300
48039,BRAZORIA,68
48061,CAMERON,26
48121,DENTON,24
48123,DE WITT,21
48139,ELLIS,101
48145,FALLS,18
48147,FANNIN,120
48149,FAYETTE,24
48171,GILLESPIE,58
48181,GRAYSON,150
48203,HARRISON,111
48231,HUNT,208
48239,JACKSON,75
48245,JEFFERSON,12
48249,JIM WELLS,3
48257,KAUFMAN,276
48265,KERR,18
48303,LUBBOCK,240
48309,MCLENNAN,938
48367,PARKER,476
48407,SAN JACINTO,300
48423,SMITH,188
48459,UPSHUR,28
48467,VAN ZANDT,42
48491,WILLIAMSON,225
48493,WILSON,324
48497,WISE,336
