FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,160
48005,ANGELINA,300
48013,ATASCOSA,42
48015,AUSTIN,223
48021,BASTROP,262
48025,BEE,155
48027,BELL,525
48029,BEXAR,207
48037,BOWIE,27
48039,BRAZORIA,354
48041,BRAZOS,304
48053,BURNET,30
48061,CAMERON,267
48077,CLAY,21
48085,COLLIN,110
48089,COLORADO,30
48091,COMAL,237
48093,COMANCHE,90
48097,COOKE,216
48099,CORYELL,93
48133,EASTLAND,64
48139,ELLIS,70
48141,EL PASO,60
48147,FANNIN,264
48149,FAYETTE,108
48161,FREESTONE,10
48167,GALVESTON,56
48173,GLASSCOCK,24
48181,GRAYSON,158
48185,GRIMES,48
48187,GUADALUPE,418
48201,HARRIS,54
48215,HIDALGO,112
48217,HILL,87
48221,HOOD,22
48223,HOPKINS,42
48225,HOUSTON,66
48245,JEFFERSON,461
48249,JIM WELLS,316
48251,JOHNSON,60
48259,KENDALL,6
48265,KERR,120
48267,KIMBLE,51
48271,KINNEY,297
48273,KLEBERG,152
48277,LAMAR,149
48289,LEON,144
48291,LIBERTY,143
48293,LIMESTONE,50
48297,LIVE OAK,228
48303,LUBBOCK,32
48309,MCLENNAN,720
48321,MATAGORDA,60
48325,MEDINA,221
48331,MILAM,90
48337,MONTAGUE,121
48343,MORRIS,48
48349,NAVARRO,225
48351,NEWTON,24
48361,ORANGE,377
48363,PALO PINTO,387
48367,PARKER,606
48373,POLK,79
48381,RANDALL,30
48389,REEVES,35
48401,RUSK,124
48405,SAN AUGUSTINE,60
48407,SAN JACINTO,285
48409,SAN PATRICIO,70
48423,SMITH,265
48427,STARR,78
48439,TARRANT,60
48451,TOM GREEN,42
48453,TRAVIS,70
48457,TYLER,88
48459,UPSHUR,145
48461,UPTON,6
48463,UVALDE,29
48465,VAL VERDE,24
48467,VAN ZANDT,291
48477,WASHINGTON,26
48491,WILLIAMSON,62
48493,WILSON,389
48503,YOUNG,420
