FIPS,COUNTY_NAME,VALUE
48001,ANDERSON,412
48003,ANDREWS,334
48005,ANGELINA,291
48007,ARANSAS,60
48009,ARCHER,479
48013,ATASCOSA,1939
48015,AUSTIN,719
48017,BAILEY,654
48019,BANDERA,2566
48021,BASTROP,2232
48025,BEE,257
48027,BELL,5150
48029,BEXAR,5525
48031,BLANCO,5280
48033,BORDEN,372
48035,BOSQUE,2349
48037,BOWIE,507
48039,BRAZORIA,1453
48041,BRAZOS,2450
48043,BREWSTER,461
48047,BROOKS,69
48049,BROWN,6808
48051,BURLESON,844
48053,BURNET,5453
48055,CALDWELL,1375
48057,CALHOUN,1634
48059,CALLAHAN,1645
48061,CAMERON,1221
48063,CAMP,119
48065,CARSON,20
48067,CASS,153
48069,CASTRO,2970
48071,CHAMBERS,462
48073,CHEROKEE,322
48077,CLAY,393
48081,COKE,5256
48083,COLEMAN,7580
48085,COLLIN,2446
48089,COLORADO,338
48091,COMAL,4781
48093,COMANCHE,12196
48095,CONCHO,20993
48097,COOKE,2696
48099,CORYELL,12101
48103,CRANE,245
48105,CROCKETT,60109
48109,CULBERSON,36
48113,DALLAS,1144
48115,DAWSON,224
48119,DELTA,214
48121,DENTON,2978
48123,DE WITT,1245
48125,DICKENS,245
48127,DIMMIT,56
48131,DUVAL,869
48133,EASTLAND,3953
48135,ECTOR,574
48137,EDWARDS,20552
48139,ELLIS,3958
48141,EL PASO,2536
48143,ERATH,9041
48145,FALLS,2242
48147,FANNIN,2982
48149,FAYETTE,969
48151,FISHER,138
48153,FLOYD,1317
48157,FORT BEND,411
48159,FRANKLIN,42
48161,FREESTONE,845
48163,FRIO,377
48165,GAINES,1560
48167,GALVESTON,274
48169,GARZA,12
48171,GILLESPIE,28103
48173,GLASSCOCK,3689
48175,GOLIAD,289
48177,GONZALES,1321
48179,GRAY,34
48181,GRAYSON,1939
48183,GREGG,446
48185,GRIMES,726
48187,GUADALUPE,3325
48189,HALE,1248
48193,HAMILTON,15680
48199,HARDIN,302
48201,HARRIS,1316
48203,HARRISON,202
48207,HASKELL,318
48209,HAYS,1703
48213,HENDERSON,555
48215,HIDALGO,5467
48217,HILL,3579
48219,HOCKLEY,434
48221,HOOD,1460
48223,HOPKINS,1347
48225,HOUSTON,1781
48227,HOWARD,549
48229,HUDSPETH,248
48231,HUNT,5222
48233,HUTCHINSON,123
48235,IRION,8026
48237,JACK,1762
48239,JACKSON,67
48241,JASPER,372
48243,JEFF DAVIS,57
48245,JEFFERSON,340
48247,JIM HOGG,36
48249,JIM WELLS,561
48251,JOHNSON,3139
48253,JONES,1977
48255,KARNES,164
48257,KAUFMAN,2347
48259,KENDALL,9380
48265,KERR,8403
48267,KIMBLE,9291
48269,KING,120
48271,KINNEY,5477
48273,KLEBERG,459
48277,LAMAR,1022
48279,LAMB,377
48281,LAMPASAS,13746
48285,LAVACA,501
48287,LEE,767
48289,LEON,851
48291,LIBERTY,840
48293,LIMESTONE,737
48297,LIVE OAK,486
48299,LLANO,2155
48303,LUBBOCK,1856
48305,LYNN,814
48307,MCCULLOCH,13420
48309,MCLENNAN,6121
48313,MADISON,28
48315,MARION,105
48319,MASON,3945
48321,MATAGORDA,319
48323,MAVERICK,2183
48325,MEDINA,3969
48327,MENARD,8115
48329,MIDLAND,1518
48331,MILAM,2700
48333,MILLS,30103
48335,MITCHELL,2845
48337,MONTAGUE,1934
48339,MONTGOMERY,1106
48341,MOORE,254
48343,MORRIS,239
48345,MOTLEY,94
48347,NACOGDOCHES,198
48349,NAVARRO,2867
48351,NEWTON,266
48353,NOLAN,205
48355,NUECES,379
48357,OCHILTREE,204
48361,ORANGE,366
48363,PALO PINTO,2397
48365,PANOLA,270
48367,PARKER,4061
48369,PARMER,31
48371,PECOS,17930
48373,POLK,61
48375,POTTER,265
48377,PRESIDIO,723
48379,RAINS,261
48381,RANDALL,605
48383,REAGAN,1542
48385,REAL,628
48387,RED RIVER,563
48389,REEVES,163
48391,REFUGIO,158
48395,ROBERTSON,148
48397,ROCKWALL,335
48399,RUNNELS,6860
48401,RUSK,272
48405,SAN AUGUSTINE,39
48407,SAN JACINTO,661
48409,SAN PATRICIO,272
48411,SAN SABA,6315
48413,SCHLEICHER,38481
48415,SCURRY,1152
48419,SHELBY,329
48423,SMITH,1255
48425,SOMERVELL,1104
48427,STARR,3535
48429,STEPHENS,549
48431,STERLING,9396
48433,STONEWALL,480
48435,SUTTON,17941
48439,TARRANT,1946
48441,TAYLOR,1050
48443,TERRELL,7500
48445,TERRY,212
48449,TITUS,243
48451,TOM GREEN,30219
48453,TRAVIS,2585
48455,TRINITY,27
48457,TYLER,381
48459,UPSHUR,206
48461,UPTON,8000
48463,UVALDE,4877
48465,VAL VERDE,39513
48467,VAN ZANDT,1069
48469,VICTORIA,707
48471,WALKER,625
48473,WALLER,1759
48475,WARD,30
48477,WASHINGTON,392
48479,WEBB,1716
48481,WHARTON,700
48483,WHEELER,57
48485,WICHITA,1797
48487,WILBARGER,834
48489,WILLACY,197
48491,WILLIAMSON,6929
48493,WILSON,2247
48497,WISE,3631
48499,WOOD,929
48501,YOAKUM,312
48503,YOUNG,621
48505,ZAPATA,1174
48507,ZAVALA,156
