FIPS,COUNTY_NAME,VALUE
49001,BEAVER,12411
49003,BOX ELDER,33427
49005,CACHE,29101
49007,CARBON,2030
49009,DAGGETT,1135
49011,DAVIS,1307
49013,DUCHESNE,23934
49015,EMERY,5911
49017,GARFIELD,4535
49019,GRAND,1874
49021,IRON,13555
49023,JUAB,8395
49025,KANE,2818
49027,MILLARD,25822
49029,MORGAN,2522
49031,PIUTE,7158
49033,RICH,12140
49035,SALT LAKE,939
49037,SAN JUAN,5203
49039,SANPETE,32022
49041,SEVIER,29354
49043,SUMMIT,8576
49045,TOOELE,7327
49047,UINTAH,11971
49049,UTAH,21912
49051,WASATCH,1676
49053,WASHINGTON,4087
49055,WAYNE,7604
49057,WEBER,9018
