FIPS,COUNTY_NAME,VALUE
49001,BEAVER,14735
49003,BOX ELDER,45187
49005,CACHE,28594
49007,CARBON,4348
49009,DAGGETT,2536
49011,DAVIS,2185
49013,DUCHESNE,30749
49015,EMERY,13136
49017,GARFIELD,10229
49019,GRAND,3519
49021,IRON,23165
49023,JUAB,11099
49025,KANE,5675
49027,MILLARD,31053
49029,MORGAN,5388
49031,PIUTE,10665
49033,RICH,27586
49035,SALT LAKE,1121
49037,SAN JUAN,9388
49039,SANPETE,24474
49041,SEVIER,17815
49043,SUMMIT,10131
49045,TOOELE,13075
49047,UINTAH,23661
49049,UTAH,32387
49051,WASATCH,5649
49053,WASHINGTON,8583
49055,WAYNE,10552
49057,WEBER,10276
