FIPS,COUNTY_NAME,VALUE
51001,ACCOMACK,368
51003,ALBEMARLE,9782
51005,ALLEGHANY,866
51007,AMELIA,7019
51009,AMHERST,5939
51011,APPOMATTOX,6942
51015,AUGUSTA,58472
51017,BATH,3501
51019,BEDFORD,22343
51021,BLAND,6714
51023,BOTETOURT,11195
51025,BRUNSWICK,2072
51027,BUCHANAN,220
51029,BUCKINGHAM,6512
51031,CAMPBELL,14675
51033,CAROLINE,926
51035,CARROLL,22116
51036,CHARLES CITY,30
51037,CHARLOTTE,7076
51041,CHESTERFIELD,476
51043,CLARKE,7982
51045,CRAIG,3070
51047,CULPEPER,8819
51049,CUMBERLAND,3772
51051,DICKENSON,336
51053,DINWIDDIE,2130
51057,ESSEX,577
51059,FAIRFAX,151
51061,FAUQUIER,23292
51063,FLOYD,14496
51065,FLUVANNA,2799
51067,FRANKLIN,23405
51069,FREDERICK,7049
51071,GILES,5623
51073,GLOUCESTER,402
51075,GOOCHLAND,3013
51077,GRAYSON,17755
51079,GREENE,3477
51081,GREENSVILLE,480
51083,HALIFAX,8932
51085,HANOVER,3350
51087,HENRICO,327
51089,HENRY,2531
51091,HIGHLAND,8967
51093,ISLE OF WIGHT,1745
51095,JAMES CITY,133
51097,KING AND QUEEN,384
51099,KING GEORGE,755
51101,KING WILLIAM,1210
51103,LANCASTER,158
51105,LEE,9677
51107,LOUDOUN,7496
51109,LOUISA,4403
51111,LUNENBURG,2924
51113,MADISON,12542
51117,MECKLENBURG,4996
51119,MIDDLESEX,379
51121,MONTGOMERY,12655
51125,NELSON,5504
51127,NEW KENT,559
51133,NORTHUMBERLAND,77
51135,NOTTOWAY,4341
51137,ORANGE,12461
51139,PAGE,11558
51141,PATRICK,5469
51143,PITTSYLVANIA,25370
51145,POWHATAN,2223
51147,PRINCE EDWARD,4624
51149,PRINCE GEORGE,418
51153,PRINCE WILLIAM,1487
51155,PULASKI,13258
51157,RAPPAHANNOCK,6687
51159,RICHMOND,423
51161,ROANOKE,980
51163,ROCKBRIDGE,14507
51165,ROCKINGHAM,56284
51167,RUSSELL,24505
51169,SCOTT,11598
51171,SHENANDOAH,17911
51173,SMYTH,28505
51175,SOUTHAMPTON,1237
51177,SPOTSYLVANIA,4383
51179,STAFFORD,2439
51181,SURRY,758
51183,SUSSEX,439
51185,TAZEWELL,17084
51187,WARREN,3146
51191,WASHINGTON,43430
51193,WESTMORELAND,767
51195,WISE,2602
51197,WYTHE,31561
51550,CHESAPEAKE CITY,792
51800,SUFFOLK CITY,183
51810,VIRGINIA BEACH CITY,73
