FIPS,COUNTY_NAME,VALUE
51001,ACCOMACK,830
51003,ALBEMARLE,21644
51005,ALLEGHANY,2649
51007,AMELIA,16112
51009,AMHERST,14149
51011,APPOMATTOX,17557
51015,AUGUSTA,103068
51017,BATH,6147
51019,BEDFORD,48235
51021,BLAND,13769
51023,BOTETOURT,22130
51025,BRUNSWICK,5494
51027,BUCHANAN,721
51029,BUCKINGHAM,14827
51031,CAMPBELL,30903
51033,CAROLINE,2296
51035,CARROLL,38127
51036,CHARLES CITY,137
51037,CHARLOTTE,16396
51041,CHESTERFIELD,952
51043,CLARKE,16068
51045,CRAIG,6319
51047,CULPEPER,20430
51049,CUMBERLAND,8748
51051,DICKENSON,1060
51053,DINWIDDIE,5548
51057,ESSEX,1171
51059,FAIRFAX,294
51061,FAUQUIER,43765
51063,FLOYD,27141
51065,FLUVANNA,5442
51067,FRANKLIN,46975
51069,FREDERICK,16884
51071,GILES,11754
51073,GLOUCESTER,591
51075,GOOCHLAND,6991
51077,GRAYSON,28544
51079,GREENE,7143
51081,GREENSVILLE,1050
51083,HALIFAX,19912
51085,HANOVER,7284
51087,HENRICO,480
51089,HENRY,5775
51091,HIGHLAND,14584
51093,ISLE OF WIGHT,3967
51095,JAMES CITY,263
51097,KING AND QUEEN,1021
51099,KING GEORGE,1841
51101,KING WILLIAM,2190
51103,LANCASTER,361
51105,LEE,21915
51107,LOUDOUN,16480
51109,LOUISA,10642
51111,LUNENBURG,7984
51113,MADISON,26369
51115,MATHEWS,160
51117,MECKLENBURG,13265
51119,MIDDLESEX,865
51121,MONTGOMERY,25711
51125,NELSON,11551
51127,NEW KENT,711
51133,NORTHUMBERLAND,336
51135,NOTTOWAY,10286
51137,ORANGE,23938
51139,PAGE,22094
51141,PATRICK,13113
51143,PITTSYLVANIA,52680
51145,POWHATAN,5065
51147,PRINCE EDWARD,10562
51149,PRINCE GEORGE,1059
51153,PRINCE WILLIAM,3875
51155,PULASKI,25416
51157,RAPPAHANNOCK,12997
51159,RICHMOND,894
51161,ROANOKE,2413
51163,ROCKBRIDGE,31059
51165,ROCKINGHAM,111162
51167,RUSSELL,46717
51169,SCOTT,24296
51171,SHENANDOAH,35102
51173,SMYTH,42809
51175,SOUTHAMPTON,2337
51177,SPOTSYLVANIA,8435
51179,STAFFORD,3368
51181,SURRY,1618
51183,SUSSEX,969
51185,TAZEWELL,28587
51187,WARREN,6440
51191,WASHINGTON,66037
51193,WESTMORELAND,1744
51195,WISE,4559
51197,WYTHE,55815
51550,CHESAPEAKE CITY,965
51800,SUFFOLK CITY,527
51810,VIRGINIA BEACH CITY,132
