FIPS,COUNTY_NAME,VALUE
51001,ACCOMACK,5814384
51003,ALBEMARLE,544
51007,AMELIA,2605305
51011,APPOMATTOX,300
51015,AUGUSTA,4193215
51019,BEDFORD,3930
51023,BOTETOURT,84
51029,BUCKINGHAM,1024514
51033,CAROLINE,90
51035,CARROLL,36
51047,CULPEPER,3448
51049,CUMBERLAND,1382433
51051,DICKENSON,81
51057,ESSEX,36
51061,FAUQUIER,782
51063,FLOYD,479
51065,FLUVANNA,1311
51067,FRANKLIN,430
51069,FREDERICK,964
51071,GILES,86
51073,GLOUCESTER,300
51075,GOOCHLAND,870
51077,GRAYSON,612
51083,HALIFAX,106
51085,HANOVER,219039
51097,KING AND QUEEN,3300
51101,KING WILLIAM,195
51105,LEE,146
51107,LOUDOUN,3239
51113,MADISON,254
51117,MECKLENBURG,84
51125,NELSON,50
51127,NEW KENT,1056
51133,NORTHUMBERLAND,505
51135,NOTTOWAY,1410620
51137,ORANGE,151
51139,PAGE,4136109
51141,PATRICK,272
51143,PITTSYLVANIA,111
51147,PRINCE EDWARD,666004
51149,PRINCE GEORGE,2745
51153,PRINCE WILLIAM,908
51155,PULASKI,148
51157,RAPPAHANNOCK,1416
51163,ROCKBRIDGE,1200
51165,ROCKINGHAM,18195798
51167,RUSSELL,250
51169,SCOTT,74
51171,SHENANDOAH,3613762
51173,SMYTH,1220
51177,SPOTSYLVANIA,124
51191,WASHINGTON,112
51197,WYTHE,168
51550,CHESAPEAKE CITY,600
51800,SUFFOLK CITY,364350
