FIPS,COUNTY_NAME,VALUE
51001,ACCOMACK,294
51003,ALBEMARLE,62
51007,AMELIA,168
51009,AMHERST,44
51011,APPOMATTOX,302
51015,AUGUSTA,148563
51019,BEDFORD,1473
51023,BOTETOURT,151
51029,BUCKINGHAM,235
51031,CAMPBELL,265
51033,CAROLINE,446
51035,CARROLL,274
51037,CHARLOTTE,135
51041,CHESTERFIELD,26
51043,CLARKE,210
51047,CULPEPER,555
51049,CUMBERLAND,104275
51051,DICKENSON,74
51053,DINWIDDIE,218
51059,FAIRFAX,285
51061,FAUQUIER,1074
51063,FLOYD,205
51065,FLUVANNA,239
51067,FRANKLIN,1006
51069,FREDERICK,481
51071,GILES,156
51073,GLOUCESTER,992
51075,GOOCHLAND,95
51077,GRAYSON,48
51079,GREENE,32
51083,HALIFAX,221
51085,HANOVER,713
51089,HENRY,41
51093,ISLE OF WIGHT,95
51095,JAMES CITY,28
51099,KING GEORGE,34
51101,KING WILLIAM,102
51105,LEE,70
51107,LOUDOUN,689
51109,LOUISA,900
51113,MADISON,260
51117,MECKLENBURG,28024
51121,MONTGOMERY,472
51127,NEW KENT,70
51137,ORANGE,167
51139,PAGE,207200
51143,PITTSYLVANIA,46108
51145,POWHATAN,250
51147,PRINCE EDWARD,72
51149,PRINCE GEORGE,150
51153,PRINCE WILLIAM,271
51157,RAPPAHANNOCK,318
51161,ROANOKE,59
51163,ROCKBRIDGE,206
51165,ROCKINGHAM,299676
51167,RUSSELL,230
51169,SCOTT,54
51173,SMYTH,82
51177,SPOTSYLVANIA,507
51179,STAFFORD,600
51185,TAZEWELL,79
51187,WARREN,401
51193,WESTMORELAND,186
51197,WYTHE,115
51800,SUFFOLK CITY,538
