FIPS,COUNTY_NAME,VALUE
51003,ALBEMARLE,83
51005,ALLEGHANY,28
51007,AMELIA,22
51009,AMHERST,45
51011,APPOMATTOX,24
51015,AUGUSTA,10260
51017,BATH,4
51019,BEDFORD,177
51021,BLAND,15
51023,BOTETOURT,5
51025,BRUNSWICK,5
51031,CAMPBELL,26
51033,CAROLINE,27
51035,CARROLL,24
51036,CHARLES CITY,11
51037,CHARLOTTE,66
51041,CHESTERFIELD,67
51043,CLARKE,31
51045,CRAIG,5
51047,CULPEPER,157
51051,DICKENSON,8
51053,DINWIDDIE,19
51059,FAIRFAX,20
51061,FAUQUIER,183
51063,FLOYD,75
51065,FLUVANNA,71
51067,FRANKLIN,55
51069,FREDERICK,55
51071,GILES,46
51073,GLOUCESTER,32
51075,GOOCHLAND,12
51077,GRAYSON,4
51079,GREENE,10
51081,GREENSVILLE,6
51085,HANOVER,145
51087,HENRICO,8
51089,HENRY,32
51091,HIGHLAND,8
51093,ISLE OF WIGHT,109
51095,JAMES CITY,6
51097,KING AND QUEEN,9
51099,KING GEORGE,14
51105,LEE,19
51107,LOUDOUN,89
51109,LOUISA,60
51111,LUNENBURG,14
51113,MADISON,18
51117,MECKLENBURG,18
51121,MONTGOMERY,133
51125,NELSON,98
51127,NEW KENT,95
51133,NORTHUMBERLAND,42
51135,NOTTOWAY,8970
51137,ORANGE,16
51139,PAGE,22188
51141,PATRICK,16
51143,PITTSYLVANIA,4875
51153,PRINCE WILLIAM,99
51157,RAPPAHANNOCK,28
51159,RICHMOND,3
51163,ROCKBRIDGE,43
51165,ROCKINGHAM,58335
51167,RUSSELL,33
51169,SCOTT,16
51171,SHENANDOAH,7233
51173,SMYTH,26
51175,SOUTHAMPTON,24
51177,SPOTSYLVANIA,32
51179,STAFFORD,58
51185,TAZEWELL,42
51187,WARREN,53
51191,WASHINGTON,803
51195,WISE,6
51197,WYTHE,58
51550,CHESAPEAKE CITY,19
51800,SUFFOLK CITY,126
