FIPS,COUNTY_NAME,VALUE
51001,ACCOMACK,218
51003,ALBEMARLE,1980
51005,ALLEGHANY,208
51007,AMELIA,193
51009,AMHERST,264
51011,APPOMATTOX,305
51015,AUGUSTA,1800
51017,BATH,107
51019,BEDFORD,1933
51021,BLAND,286
51023,BOTETOURT,881
51025,BRUNSWICK,179
51027,BUCHANAN,53
51029,BUCKINGHAM,654
51031,CAMPBELL,837
51033,CAROLINE,414
51035,CARROLL,1020
51036,CHARLES CITY,113
51037,CHARLOTTE,623
51041,CHESTERFIELD,673
51043,CLARKE,2090
51045,CRAIG,74
51047,CULPEPER,2078
51049,CUMBERLAND,219
51051,DICKENSON,256
51053,DINWIDDIE,534
51057,ESSEX,54
51059,FAIRFAX,445
51061,FAUQUIER,4100
51063,FLOYD,491
51065,FLUVANNA,624
51067,FRANKLIN,665
51069,FREDERICK,1165
51071,GILES,364
51073,GLOUCESTER,481
51075,GOOCHLAND,992
51077,GRAYSON,891
51079,GREENE,247
51081,GREENSVILLE,172
51083,HALIFAX,689
51085,HANOVER,1634
51087,HENRICO,82
51089,HENRY,183
51091,HIGHLAND,214
51093,ISLE OF WIGHT,292
51095,JAMES CITY,122
51097,KING AND QUEEN,328
51099,KING GEORGE,201
51101,KING WILLIAM,91
51103,LANCASTER,94
51105,LEE,652
51107,LOUDOUN,3962
51109,LOUISA,745
51111,LUNENBURG,314
51113,MADISON,674
51115,MATHEWS,22
51117,MECKLENBURG,614
51119,MIDDLESEX,533
51121,MONTGOMERY,1353
51125,NELSON,294
51127,NEW KENT,94
51131,NORTHAMPTON,13
51133,NORTHUMBERLAND,191
51135,NOTTOWAY,249
51137,ORANGE,939
51139,PAGE,471
51141,PATRICK,368
51143,PITTSYLVANIA,1453
51145,POWHATAN,1019
51147,PRINCE EDWARD,266
51149,PRINCE GEORGE,193
51153,PRINCE WILLIAM,1161
51155,PULASKI,509
51157,RAPPAHANNOCK,618
51159,RICHMOND,17
51161,ROANOKE,571
51163,ROCKBRIDGE,1155
51165,ROCKINGHAM,2034
51167,RUSSELL,927
51169,SCOTT,868
51171,SHENANDOAH,1502
51173,SMYTH,756
51175,SOUTHAMPTON,246
51177,SPOTSYLVANIA,963
51179,STAFFORD,480
51181,SURRY,124
51183,SUSSEX,38
51185,TAZEWELL,729
51187,WARREN,543
51191,WASHINGTON,1369
51193,WESTMORELAND,59
51195,WISE,443
51197,WYTHE,1128
51199,YORK,51
51550,CHESAPEAKE CITY,905
51800,SUFFOLK CITY,712
51810,VIRGINIA BEACH CITY,648
