FIPS,COUNTY_NAME,VALUE
51001,ACCOMACK,142
51009,AMHERST,114
51015,AUGUSTA,81
51019,BEDFORD,141
51023,BOTETOURT,32
51029,BUCKINGHAM,17
51037,CHARLOTTE,104
51047,CULPEPER,74
51053,DINWIDDIE,36
51057,ESSEX,9
51061,FAUQUIER,174
51063,FLOYD,39
51069,FREDERICK,125
51075,GOOCHLAND,27
51077,GRAYSON,26
51085,HANOVER,64
51087,HENRICO,20
51093,ISLE OF WIGHT,94
51101,KING WILLIAM,26
51107,LOUDOUN,40
51109,LOUISA,46
51113,MADISON,6
51133,NORTHUMBERLAND,8
51137,ORANGE,6
51139,PAGE,8
51157,RAPPAHANNOCK,23
51161,ROANOKE,16
51163,ROCKBRIDGE,71
51165,ROCKINGHAM,79
51169,SCOTT,92
51171,SHENANDOAH,12
51177,SPOTSYLVANIA,40
51179,STAFFORD,118
51187,WARREN,8
51197,WYTHE,34
51550,CHESAPEAKE CITY,18
51800,SUFFOLK CITY,33
