FIPS,COUNTY_NAME,VALUE
51001,ACCOMACK,56
51003,ALBEMARLE,289
51005,ALLEGHANY,53
51009,AMHERST,406
51011,APPOMATTOX,301
51015,AUGUSTA,919
51017,BATH,12
51019,BEDFORD,1102
51021,BLAND,86
51023,BOTETOURT,501
51025,BRUNSWICK,278
51027,BUCHANAN,197
51029,BUCKINGHAM,381
51031,CAMPBELL,684
51033,CAROLINE,140
51035,CARROLL,451
51036,CHARLES CITY,56
51037,CHARLOTTE,361
51041,CHESTERFIELD,521
51043,CLARKE,379
51047,CULPEPER,1034
51049,CUMBERLAND,549
51051,DICKENSON,80
51053,DINWIDDIE,693
51057,ESSEX,141
51059,FAIRFAX,170
51061,FAUQUIER,597
51063,FLOYD,303
51065,FLUVANNA,198
51067,FRANKLIN,1251
51069,FREDERICK,1077
51071,GILES,586
51073,GLOUCESTER,31
51075,GOOCHLAND,539
51077,GRAYSON,972
51079,GREENE,158
51081,GREENSVILLE,116
51083,HALIFAX,1223
51085,HANOVER,229
51087,HENRICO,124
51089,HENRY,219
51093,ISLE OF WIGHT,349
51097,KING AND QUEEN,83
51105,LEE,531
51107,LOUDOUN,783
51109,LOUISA,471
51111,LUNENBURG,470
51113,MADISON,125
51117,MECKLENBURG,366
51121,MONTGOMERY,629
51125,NELSON,352
51127,NEW KENT,158
51133,NORTHUMBERLAND,236
51137,ORANGE,504
51139,PAGE,296
51141,PATRICK,86
51143,PITTSYLVANIA,1057
51145,POWHATAN,147
51147,PRINCE EDWARD,512
51149,PRINCE GEORGE,334
51153,PRINCE WILLIAM,192
51155,PULASKI,571
51157,RAPPAHANNOCK,335
51163,ROCKBRIDGE,231
51165,ROCKINGHAM,2163
51167,RUSSELL,1575
51169,SCOTT,1032
51171,SHENANDOAH,1411
51173,SMYTH,630
51177,SPOTSYLVANIA,521
51179,STAFFORD,59
51185,TAZEWELL,966
51187,WARREN,168
51191,WASHINGTON,1375
51193,WESTMORELAND,145
51195,WISE,171
51197,WYTHE,357
51550,CHESAPEAKE CITY,199
51800,SUFFOLK CITY,300
51810,VIRGINIA BEACH CITY,122
