FIPS,COUNTY_NAME,VALUE
51001,ACCOMACK,12
51003,ALBEMARLE,224
51005,ALLEGHANY,86
51007,AMELIA,107
51009,AMHERST,132
51011,APPOMATTOX,107
51015,AUGUSTA,1480
51017,BATH,21
51019,BEDFORD,427
51021,BLAND,21
51023,BOTETOURT,133
51029,BUCKINGHAM,17899
51031,CAMPBELL,190
51033,CAROLINE,42
51035,CARROLL,72
51037,CHARLOTTE,14876
51041,CHESTERFIELD,332
51043,CLARKE,61
51047,CULPEPER,125
51049,CUMBERLAND,38
51051,DICKENSON,12
51053,DINWIDDIE,458
51057,ESSEX,92
51059,FAIRFAX,90
51061,FAUQUIER,563
51063,FLOYD,306
51065,FLUVANNA,78
51067,FRANKLIN,272
51071,GILES,124
51073,GLOUCESTER,162
51075,GOOCHLAND,98
51077,GRAYSON,125
51079,GREENE,3
51083,HALIFAX,13364
51085,HANOVER,464
51087,HENRICO,12
51089,HENRY,30
51093,ISLE OF WIGHT,28412
51095,JAMES CITY,205
51097,KING AND QUEEN,69
51099,KING GEORGE,106
51101,KING WILLIAM,408
51105,LEE,178
51107,LOUDOUN,919
51109,LOUISA,218
51113,MADISON,341
51117,MECKLENBURG,451
51121,MONTGOMERY,630
51125,NELSON,102
51127,NEW KENT,30
51135,NOTTOWAY,85
51137,ORANGE,122
51139,PAGE,521
51141,PATRICK,137
51145,POWHATAN,81
51149,PRINCE GEORGE,314
51153,PRINCE WILLIAM,147
51155,PULASKI,17
51157,RAPPAHANNOCK,41
51161,ROANOKE,19
51163,ROCKBRIDGE,341
51165,ROCKINGHAM,690
51167,RUSSELL,108
51169,SCOTT,167
51171,SHENANDOAH,760
51173,SMYTH,104
51175,SOUTHAMPTON,24375
51177,SPOTSYLVANIA,755
51179,STAFFORD,32
51185,TAZEWELL,45
51187,WARREN,133
51191,WASHINGTON,199
51195,WISE,45
51197,WYTHE,83
51550,CHESAPEAKE CITY,125
51800,SUFFOLK CITY,1321
