FIPS,COUNTY_NAME,VALUE
51003,ALBEMARLE,67
51015,AUGUSTA,56
51019,BEDFORD,10
51023,BOTETOURT,54
51033,CAROLINE,12
51043,CLARKE,25
51047,CULPEPER,33
51053,DINWIDDIE,25
51061,FAUQUIER,61
51065,FLUVANNA,6
51067,FRANKLIN,24
51069,FREDERICK,13
51085,HANOVER,111
51089,HENRY,19
51095,JAMES CITY,8
51107,LOUDOUN,147
51111,LUNENBURG,30
51121,MONTGOMERY,5
51143,PITTSYLVANIA,72
51153,PRINCE WILLIAM,15
51157,RAPPAHANNOCK,93
51165,ROCKINGHAM,48
51171,SHENANDOAH,83
51187,WARREN,53
51191,WASHINGTON,36
51197,WYTHE,14
51800,SUFFOLK CITY,13
51810,VIRGINIA BEACH CITY,6
