FIPS,COUNTY_NAME,VALUE
53001,ADAMS,17964
53003,ASOTIN,5656
53005,BENTON,12252
53007,CHELAN,241
53009,CLALLAM,2039
53011,CLARK,9775
53013,COLUMBIA,2686
53015,COWLITZ,2298
53017,DOUGLAS,6509
53019,FERRY,3109
53021,FRANKLIN,34623
53023,GARFIELD,5503
53025,GRANT,45030
53027,GRAYS HARBOR,3629
53029,ISLAND,1829
53031,JEFFERSON,851
53033,KING,11011
53035,KITSAP,725
53037,KITTITAS,14313
53039,KLICKITAT,13619
53041,LEWIS,15677
53043,LINCOLN,12256
53045,MASON,984
53047,OKANOGAN,21778
53049,PACIFIC,3992
53051,PEND OREILLE,2346
53053,PIERCE,5966
53055,SAN JUAN,954
53057,SKAGIT,19348
53059,SKAMANIA,314
53061,SNOHOMISH,17183
53063,SPOKANE,9812
53065,STEVENS,11929
53067,THURSTON,10176
53073,WHATCOM,49240
53075,WHITMAN,11651
53077,YAKIMA,122441
