FIPS,COUNTY_NAME,VALUE
53001,ADAMS,47301
53003,ASOTIN,9884
53005,BENTON,78863
53007,CHELAN,366
53009,CLALLAM,3435
53011,CLARK,15065
53013,COLUMBIA,3955
53015,COWLITZ,3644
53017,DOUGLAS,10312
53019,FERRY,4611
53021,FRANKLIN,79525
53023,GARFIELD,9407
53025,GRANT,177149
53027,GRAYS HARBOR,8512
53029,ISLAND,5482
53031,JEFFERSON,1547
53033,KING,18883
53035,KITSAP,1166
53037,KITTITAS,26758
53039,KLICKITAT,20439
53041,LEWIS,28362
53043,LINCOLN,17532
53045,MASON,2047
53047,OKANOGAN,39801
53049,PACIFIC,6637
53051,PEND OREILLE,4304
53053,PIERCE,10936
53055,SAN JUAN,1706
53057,SKAGIT,29525
53059,SKAMANIA,477
53061,SNOHOMISH,31432
53063,SPOKANE,19028
53065,STEVENS,19992
53067,THURSTON,18203
53069,WAHKIAKUM,2421
53071,WALLA WALLA,53961
53073,WHATCOM,83543
53075,WHITMAN,19686
53077,YAKIMA,239647
