FIPS,COUNTY_NAME,VALUE
53001,ADAMS,572
53005,BENTON,278
53007,CHELAN,143
53009,CLALLAM,82
53011,CLARK,313524
53019,FERRY,117
53021,FRANKLIN,196
53023,GARFIELD,120
53025,GRANT,154
53027,GRAYS HARBOR,1530
53029,ISLAND,176
53031,JEFFERSON,210
53033,KING,1489
53035,KITSAP,908
53037,KITTITAS,1183
53039,KLICKITAT,677
53041,LEWIS,2439697
53045,MASON,430
53047,OKANOGAN,1352
53049,PACIFIC,309
53051,PEND OREILLE,114
53053,PIERCE,1474
53063,SPOKANE,1225
53065,STEVENS,991
53069,WAHKIAKUM,230
53077,YAKIMA,2440
