FIPS,COUNTY_NAME,VALUE
53001,ADAMS,546
53003,ASOTIN,506
53005,BENTON,2083
53007,CHELAN,576
53009,CLALLAM,634
53011,CLARK,2687
53013,COLUMBIA,167
53015,COWLITZ,229
53017,DOUGLAS,452
53019,FERRY,456
53021,FRANKLIN,735
53023,GARFIELD,156
53025,GRANT,1555
53027,GRAYS HARBOR,609
53029,ISLAND,560
53031,JEFFERSON,241
53033,KING,4654
53035,KITSAP,1428
53037,KITTITAS,2418
53039,KLICKITAT,769
53041,LEWIS,2196
53043,LINCOLN,597
53045,MASON,348
53047,OKANOGAN,2061
53049,PACIFIC,259
53051,PEND OREILLE,341
53053,PIERCE,4449
53055,SAN JUAN,282
53057,SKAGIT,1528
53059,SKAMANIA,132
53061,SNOHOMISH,3304
53063,SPOKANE,4041
53065,STEVENS,1925
53067,THURSTON,2300
53069,WAHKIAKUM,152
53071,WALLA WALLA,1140
53073,WHATCOM,1592
53075,WHITMAN,781
53077,YAKIMA,3805
