FIPS,COUNTY_NAME,VALUE
53003,ASOTIN,172
53005,BENTON,182
53007,CHELAN,61
53009,CLALLAM,142
53011,CLARK,723
53015,COWLITZ,133
53017,DOUGLAS,13
53019,FERRY,144
53021,FRANKLIN,169
53025,GRANT,218
53027,GRAYS HARBOR,88
53029,ISLAND,64
53031,JEFFERSON,110
53033,KING,490
53035,KITSAP,346
53039,KLICKITAT,336
53041,LEWIS,247
53045,MASON,114
53047,OKANOGAN,308
53049,PACIFIC,10
53053,PIERCE,917
53055,SAN JUAN,54
53057,SKAGIT,201
53059,SKAMANIA,73
53063,SPOKANE,853
53065,STEVENS,490
53067,THURSTON,982
53069,WAHKIAKUM,95
53073,WHATCOM,301
53075,WHITMAN,67
53077,YAKIMA,520
