FIPS,COUNTY_NAME,VALUE
53001,ADAMS,199
53003,ASOTIN,351
53005,BENTON,1007
53007,CHELAN,208
53009,CLALLAM,352
53011,CLARK,1939
53013,COLUMBIA,149
53015,COWLITZ,343
53017,DOUGLAS,171
53019,FERRY,342
53021,FRANKLIN,337
53023,GARFIELD,1526
53025,GRANT,711
53027,GRAYS HARBOR,193
53029,ISLAND,180
53031,JEFFERSON,314
53033,KING,1492
53035,KITSAP,635
53037,KITTITAS,1075
53039,KLICKITAT,584
53041,LEWIS,1274
53043,LINCOLN,424
53045,MASON,193
53047,OKANOGAN,893
53049,PACIFIC,57
53051,PEND OREILLE,201
53053,PIERCE,1646
53055,SAN JUAN,257
53057,SKAGIT,613
53059,SKAMANIA,182
53061,SNOHOMISH,2031
53063,SPOKANE,2367
53065,STEVENS,995
53067,THURSTON,1462
53069,WAHKIAKUM,203
53071,WALLA WALLA,807
53073,WHATCOM,863
53075,WHITMAN,280
53077,YAKIMA,2536
