FIPS,COUNTY_NAME,VALUE
55001,ADAMS,2714
55003,ASHLAND,4148
55005,BARRON,25073
55007,BAYFIELD,4288
55009,BROWN,77576
55011,BUFFALO,40282
55013,BURNETT,6967
55015,CALUMET,37871
55017,CHIPPEWA,30994
55019,CLARK,92077
55021,COLUMBIA,32729
55023,CRAWFORD,15826
55025,DANE,96073
55027,DODGE,68888
55029,DOOR,10101
55031,DOUGLAS,3176
55033,DUNN,26112
55035,EAU CLAIRE,13169
55037,FLORENCE,626
55039,FOND DU LAC,57408
55041,FOREST,1731
55043,GRANT,101918
55045,GREEN,39976
55047,GREEN LAKE,16545
55049,IOWA,51118
55051,IRON,1019
55053,JACKSON,25472
55055,JEFFERSON,31193
55057,JUNEAU,12760
55059,KENOSHA,5298
55061,KEWAUNEE,55097
55063,LA CROSSE,13412
55065,LAFAYETTE,64355
55067,LANGLADE,8690
55069,LINCOLN,5166
55071,MANITOWOC,53239
55073,MARATHON,71768
55075,MARINETTE,23627
55077,MARQUETTE,11896
55081,MONROE,33757
55083,OCONTO,23925
55085,ONEIDA,379
55087,OUTAGAMIE,52394
55089,OZAUKEE,16827
55091,PEPIN,17258
55093,PIERCE,25679
55095,POLK,21527
55097,PORTAGE,26117
55099,PRICE,5503
55101,RACINE,5355
55103,RICHLAND,23310
55105,ROCK,32335
55107,RUSK,12311
55109,ST CROIX,24867
55111,SAUK,38863
55113,SAWYER,2910
55115,SHAWANO,45353
55117,SHEBOYGAN,50558
55119,TAYLOR,17974
55121,TREMPEALEAU,37023
55123,VERNON,40815
55125,VILAS,30
55127,WALWORTH,21308
55129,WASHBURN,4533
55131,WASHINGTON,28672
55133,WAUKESHA,5114
55135,WAUPACA,28862
55137,WAUSHARA,7340
55139,WINNEBAGO,14062
55141,WOOD,21572
