FIPS,COUNTY_NAME,VALUE
55001,ADAMS,14506
55003,ASHLAND,9357
55005,BARRON,52351
55007,BAYFIELD,7819
55009,BROWN,125470
55011,BUFFALO,64068
55013,BURNETT,13456
55015,CALUMET,69784
55017,CHIPPEWA,60551
55019,CLARK,163985
55021,COLUMBIA,55796
55023,CRAWFORD,31506
55025,DANE,155725
55027,DODGE,113441
55029,DOOR,21079
55031,DOUGLAS,6974
55033,DUNN,51346
55035,EAU CLAIRE,25312
55037,FLORENCE,1464
55039,FOND DU LAC,118094
55041,FOREST,2877
55043,GRANT,175462
55045,GREEN,70376
55047,GREEN LAKE,25756
55049,IOWA,86247
55051,IRON,2334
55053,JACKSON,42780
55055,JEFFERSON,48604
55057,JUNEAU,27231
55059,KENOSHA,9805
55061,KEWAUNEE,107438
55063,LA CROSSE,26519
55065,LAFAYETTE,107419
55067,LANGLADE,19031
55069,LINCOLN,10521
55071,MANITOWOC,110027
55073,MARATHON,144500
55075,MARINETTE,43068
55077,MARQUETTE,19502
55081,MONROE,68288
55083,OCONTO,46998
55085,ONEIDA,980
55087,OUTAGAMIE,88951
55089,OZAUKEE,26421
55091,PEPIN,27456
55093,PIERCE,46673
55095,POLK,44081
55097,PORTAGE,41254
55099,PRICE,12396
55101,RACINE,10079
55103,RICHLAND,46627
55105,ROCK,55784
55107,RUSK,25359
55109,ST CROIX,51122
55111,SAUK,67125
55113,SAWYER,6845
55115,SHAWANO,84580
55117,SHEBOYGAN,78216
55119,TAYLOR,38998
55121,TREMPEALEAU,67421
55123,VERNON,71517
55125,VILAS,107
55127,WALWORTH,38419
55129,WASHBURN,9076
55131,WASHINGTON,45180
55133,WAUKESHA,7765
55135,WAUPACA,55241
55137,WAUSHARA,16029
55139,WINNEBAGO,29986
55141,WOOD,43801
