FIPS,COUNTY_NAME,VALUE
55001,ADAMS,1339
55003,ASHLAND,1118
55005,BARRON,3116
55007,BAYFIELD,1787
55009,BROWN,3783
55011,BUFFALO,156047
55013,BURNETT,679
55015,CALUMET,1319
55017,CHIPPEWA,7284
55019,CLARK,130527
55021,COLUMBIA,47693
55023,CRAWFORD,1893
55025,DANE,73715
55027,DODGE,5690
55029,DOOR,2356
55031,DOUGLAS,810
55033,DUNN,24021
55035,EAU CLAIRE,10062
55037,FLORENCE,673
55039,FOND DU LAC,2598
55041,FOREST,492
55043,GRANT,248125
55045,GREEN,6118
55047,GREEN LAKE,7992
55049,IOWA,97102
55051,IRON,263
55053,JACKSON,5241
55055,JEFFERSON,5685942
55059,KENOSHA,4527
55061,KEWAUNEE,1166
55063,LA CROSSE,11359
55065,LAFAYETTE,75472
55067,LANGLADE,1303
55073,MARATHON,28652
55075,MARINETTE,1884
55077,MARQUETTE,9592
55079,MILWAUKEE,554
55081,MONROE,190499
55083,OCONTO,7543
55085,ONEIDA,543
55087,OUTAGAMIE,3536
55091,PEPIN,1275
55093,PIERCE,3245
55095,POLK,3448
55097,PORTAGE,5420
55099,PRICE,1351
55101,RACINE,3288
55103,RICHLAND,6649
55105,ROCK,4059
55107,RUSK,1723
55109,ST CROIX,4794
55111,SAUK,95757
55113,SAWYER,1139
55115,SHAWANO,13362
55119,TAYLOR,3209
55121,TREMPEALEAU,125846
55123,VERNON,160931
55125,VILAS,521
55127,WALWORTH,3191
55129,WASHBURN,2162
55133,WAUKESHA,2566
55135,WAUPACA,2306
55137,WAUSHARA,2643
55139,WINNEBAGO,1901
55141,WOOD,3813
