FIPS,COUNTY_NAME,VALUE
55001,ADAMS,193
55003,ASHLAND,183
55005,BARRON,1338
55007,BAYFIELD,511
55009,BROWN,1457
55011,BUFFALO,767
55013,BURNETT,426
55015,CALUMET,636
55017,CHIPPEWA,1278
55019,CLARK,3703
55021,COLUMBIA,1717
55023,CRAWFORD,1168
55025,DANE,3515
55027,DODGE,1135
55029,DOOR,548
55031,DOUGLAS,383
55033,DUNN,1307
55035,EAU CLAIRE,1591
55037,FLORENCE,153
55039,FOND DU LAC,977
55041,FOREST,151
55043,GRANT,2140
55045,GREEN,1575
55047,GREEN LAKE,893
55049,IOWA,1300
55051,IRON,61
55053,JACKSON,1117
55055,JEFFERSON,855
55057,JUNEAU,988
55059,KENOSHA,1589
55061,KEWAUNEE,331
55063,LA CROSSE,703
55065,LAFAYETTE,1336
55067,LANGLADE,372
55069,LINCOLN,397
55071,MANITOWOC,829
55073,MARATHON,2100
55075,MARINETTE,437
55077,MARQUETTE,792
55081,MONROE,2917
55083,OCONTO,625
55085,ONEIDA,168
55087,OUTAGAMIE,628
55089,OZAUKEE,384
55091,PEPIN,370
55093,PIERCE,1507
55095,POLK,1185
55097,PORTAGE,928
55099,PRICE,435
55101,RACINE,865
55103,RICHLAND,1175
55105,ROCK,1610
55107,RUSK,545
55109,ST CROIX,2001
55111,SAUK,1634
55113,SAWYER,111
55115,SHAWANO,1174
55117,SHEBOYGAN,1421
55119,TAYLOR,996
55121,TREMPEALEAU,699
55123,VERNON,3461
55125,VILAS,247
55127,WALWORTH,1482
55129,WASHBURN,449
55131,WASHINGTON,799
55133,WAUKESHA,1640
55135,WAUPACA,822
55137,WAUSHARA,910
55139,WINNEBAGO,1413
55141,WOOD,1318
