FIPS,COUNTY_NAME,VALUE
55001,ADAMS,21
55003,ASHLAND,22
55005,BARRON,46
55007,BAYFIELD,16
55009,BROWN,56
55011,BUFFALO,63
55013,BURNETT,24
55015,CALUMET,79
55017,CHIPPEWA,47
55019,CLARK,78
55021,COLUMBIA,98
55023,CRAWFORD,72
55025,DANE,192
55027,DODGE,29
55029,DOOR,24
55031,DOUGLAS,48
55033,DUNN,175
55035,EAU CLAIRE,101
55037,FLORENCE,21
55039,FOND DU LAC,67
55041,FOREST,13
55043,GRANT,163
55045,GREEN,147
55047,GREEN LAKE,27
55049,IOWA,120
55053,JACKSON,56
55055,JEFFERSON,95
55057,JUNEAU,81
55059,KENOSHA,61
55061,KEWAUNEE,6
55063,LA CROSSE,36
55065,LAFAYETTE,156
55067,LANGLADE,23
55069,LINCOLN,54
55071,MANITOWOC,163
55073,MARATHON,61
55075,MARINETTE,25
55079,MILWAUKEE,6
55081,MONROE,137
55083,OCONTO,89
55085,ONEIDA,11
55087,OUTAGAMIE,66
55089,OZAUKEE,20
55091,PEPIN,14
55093,PIERCE,63
55095,POLK,126
55097,PORTAGE,58
55099,PRICE,44
55101,RACINE,59
55103,RICHLAND,51
55105,ROCK,99
55107,RUSK,44
55109,ST CROIX,118
55111,SAUK,90
55113,SAWYER,10
55115,SHAWANO,72
55117,SHEBOYGAN,30
55119,TAYLOR,74
55121,TREMPEALEAU,69
55123,VERNON,133
55127,WALWORTH,101
55129,WASHBURN,13
55131,WASHINGTON,21
55133,WAUKESHA,40
55135,WAUPACA,41
55137,WAUSHARA,69
55139,WINNEBAGO,76
55141,WOOD,59
