FIPS,COUNTY_NAME,VALUE
55001,ADAMS,15
55003,ASHLAND,52
55007,BAYFIELD,14
55009,BROWN,158
55011,BUFFALO,228
55013,BURNETT,18
55017,CHIPPEWA,231
55021,COLUMBIA,310
55023,CRAWFORD,246
55025,DANE,334
55027,DODGE,265
55029,DOOR,116
55033,DUNN,621
55037,FLORENCE,16
55041,FOREST,57
55043,GRANT,882
55047,GREEN LAKE,69
55055,JEFFERSON,236
55057,JUNEAU,144
55059,KENOSHA,88
55063,LA CROSSE,245
55065,LAFAYETTE,550
55067,LANGLADE,104
55069,LINCOLN,23
55073,MARATHON,384
55075,MARINETTE,122
55077,MARQUETTE,354
55083,OCONTO,251
55087,OUTAGAMIE,338
55089,OZAUKEE,163
55091,PEPIN,285
55093,PIERCE,337
55095,POLK,502
55101,RACINE,336
55109,ST CROIX,648
55111,SAUK,581
55113,SAWYER,59
55117,SHEBOYGAN,393
55121,TREMPEALEAU,186
55123,VERNON,258
55127,WALWORTH,345
55129,WASHBURN,91
55135,WAUPACA,338
55137,WAUSHARA,136
55141,WOOD,230
