FIPS,COUNTY_NAME,VALUE
55001,ADAMS,69
55003,ASHLAND,190
55005,BARRON,322
55007,BAYFIELD,62
55011,BUFFALO,71
55013,BURNETT,150
55015,CALUMET,256
55017,CHIPPEWA,1311
55019,CLARK,527
55021,COLUMBIA,371
55023,CRAWFORD,101
55025,DANE,1487
55027,DODGE,260
55029,DOOR,112
55031,DOUGLAS,30
55033,DUNN,1309
55035,EAU CLAIRE,345
55039,FOND DU LAC,236
55041,FOREST,14
55045,GREEN,236
55047,GREEN LAKE,112
55049,IOWA,241
55051,IRON,26
55053,JACKSON,99
55055,JEFFERSON,142
55057,JUNEAU,54
55059,KENOSHA,150
55061,KEWAUNEE,38
55063,LA CROSSE,68
55065,LAFAYETTE,1336
55067,LANGLADE,29
55071,MANITOWOC,601
55073,MARATHON,232
55075,MARINETTE,267
55077,MARQUETTE,139
55079,MILWAUKEE,264
55081,MONROE,1002
55083,OCONTO,98
55085,ONEIDA,26
55087,OUTAGAMIE,262
55089,OZAUKEE,31
55093,PIERCE,525
55095,POLK,1556
55099,PRICE,31
55101,RACINE,140
55103,RICHLAND,488
55105,ROCK,857
55107,RUSK,28
55109,ST CROIX,409
55111,SAUK,613
55113,SAWYER,64
55115,SHAWANO,83
55117,SHEBOYGAN,66
55119,TAYLOR,249
55121,TREMPEALEAU,695
55123,VERNON,522
55125,VILAS,57
55127,WALWORTH,286
55129,WASHBURN,39
55131,WASHINGTON,395
55133,WAUKESHA,563
55135,WAUPACA,237
55137,WAUSHARA,69
55141,WOOD,585
