FIPS,COUNTY_NAME,VALUE
55003,ASHLAND,12
55009,BROWN,8
55025,DANE,55
55027,DODGE,80
55029,DOOR,22
55033,DUNN,45
55035,EAU CLAIRE,3
55039,FOND DU LAC,24
55043,GRANT,46
55045,GREEN,34
55053,JACKSON,36
55061,KEWAUNEE,43
55071,MANITOWOC,74
55081,MONROE,44
55083,OCONTO,19
55085,ONEIDA,109
55087,OUTAGAMIE,21
55093,PIERCE,12
55095,POLK,94
55099,PRICE,6
55105,ROCK,8
55107,RUSK,12
55109,ST CROIX,69
55111,SAUK,45
55119,TAYLOR,27
55121,TREMPEALEAU,155
55123,VERNON,34
55127,WALWORTH,9
55131,WASHINGTON,15
55135,WAUPACA,20
55137,WAUSHARA,33
55141,WOOD,29
