FIPS,COUNTY_NAME,VALUE
54001,BARBOUR,177
54003,BERKELEY,2966
54007,BRAXTON,71
54009,BROOKE,610
54011,CABELL,44
54013,CALHOUN,69
54017,DODDRIDGE,75
54019,FAYETTE,75
54021,GILMER,117
54023,GRANT,2359648
54025,GREENBRIER,205
54027,HAMPSHIRE,1925426
54029,HANCOCK,1065
54031,HARDY,5050982
54033,HARRISON,393
54035,JACKSON,129
54037,JEFFERSON,1377
54039,KANAWHA,31
54041,LEWIS,340
54043,LINCOLN,128
54047,MCDOWELL,105
54049,MARION,237
54053,MASON,199
54055,MERCER,26
54057,MINERAL,745700
54061,MONONGALIA,328
54063,MONROE,562
54065,MORGAN,243
54067,NICHOLAS,138
54071,PENDLETON,2454093
54075,POCAHONTAS,252
54077,PRESTON,5137
54079,PUTNAM,609
54083,RANDOLPH,80
54085,RITCHIE,138
54087,ROANE,125
54089,SUMMERS,7154
54091,TAYLOR,362
54097,UPSHUR,370
54099,WAYNE,103
54101,WEBSTER,242
54103,WETZEL,70
54105,WIRT,57
54107,WOOD,311
