FIPS,COUNTY_NAME,VALUE
54001,BARBOUR,548
54003,BERKELEY,648
54007,BRAXTON,139
54011,CABELL,168
54013,CALHOUN,38
54015,CLAY,160
54017,DODDRIDGE,71
54019,FAYETTE,228
54023,GRANT,236000
54025,GREENBRIER,844
54031,HARDY,724712
54033,HARRISON,236
54035,JACKSON,198
54037,JEFFERSON,249
54039,KANAWHA,104
54041,LEWIS,184
54049,MARION,446
54051,MARSHALL,170
54053,MASON,181
54055,MERCER,443
54061,MONONGALIA,242
54063,MONROE,484
54067,NICHOLAS,233
54073,PLEASANTS,47
54075,POCAHONTAS,193
54077,PRESTON,799
54079,PUTNAM,348
54081,RALEIGH,102
54083,RANDOLPH,135
54085,RITCHIE,254
54087,ROANE,486
54089,SUMMERS,240
54091,TAYLOR,120
54093,TUCKER,145
54095,TYLER,112
54097,UPSHUR,343
54099,WAYNE,88
54103,WETZEL,159
54107,WOOD,341
