FIPS,COUNTY_NAME,VALUE
54001,BARBOUR,661
54003,BERKELEY,703
54005,BOONE,4
54007,BRAXTON,297
54009,BROOKE,64
54011,CABELL,365
54013,CALHOUN,121
54015,CLAY,55
54017,DODDRIDGE,247
54019,FAYETTE,145
54021,GILMER,272
54023,GRANT,288
54025,GREENBRIER,1049
54027,HAMPSHIRE,848
54029,HANCOCK,372
54031,HARDY,445
54033,HARRISON,725
54035,JACKSON,1027
54037,JEFFERSON,1747
54039,KANAWHA,413
54041,LEWIS,378
54043,LINCOLN,109
54049,MARION,696
54051,MARSHALL,759
54053,MASON,694
54055,MERCER,545
54057,MINERAL,368
54061,MONONGALIA,542
54063,MONROE,844
54065,MORGAN,531
54067,NICHOLAS,225
54069,OHIO,174
54071,PENDLETON,244
54073,PLEASANTS,291
54075,POCAHONTAS,512
54077,PRESTON,989
54079,PUTNAM,560
54081,RALEIGH,379
54083,RANDOLPH,347
54085,RITCHIE,344
54087,ROANE,560
54089,SUMMERS,162
54091,TAYLOR,745
54093,TUCKER,227
54095,TYLER,250
54097,UPSHUR,433
54099,WAYNE,206
54101,WEBSTER,52
54103,WETZEL,267
54105,WIRT,258
54107,WOOD,894
54109,WYOMING,35
