FIPS,COUNTY_NAME,VALUE
54001,BARBOUR,47
54003,BERKELEY,113
54007,BRAXTON,31
54009,BROOKE,13
54011,CABELL,32
54013,CALHOUN,33
54015,CLAY,43
54017,DODDRIDGE,84
54019,FAYETTE,41
54021,GILMER,40
54023,GRANT,34
54025,GREENBRIER,71
54027,HAMPSHIRE,154
54031,HARDY,99
54033,HARRISON,55
54035,JACKSON,211
54037,JEFFERSON,27
54039,KANAWHA,46
54041,LEWIS,53
54043,LINCOLN,36
54047,MCDOWELL,9
54049,MARION,82
54051,MARSHALL,92
54053,MASON,159
54055,MERCER,92
54057,MINERAL,43
54061,MONONGALIA,76
54063,MONROE,101
54065,MORGAN,13
54067,NICHOLAS,54
54069,OHIO,33
54071,PENDLETON,37
54073,PLEASANTS,20
54075,POCAHONTAS,51
54077,PRESTON,188
54079,PUTNAM,137
54081,RALEIGH,75
54083,RANDOLPH,31
54085,RITCHIE,119
54087,ROANE,85
54089,SUMMERS,132
54091,TAYLOR,74
54093,TUCKER,40
54095,TYLER,32
54097,UPSHUR,124
54099,WAYNE,30
54101,WEBSTER,33
54103,WETZEL,41
54105,WIRT,29
54107,WOOD,186
