FIPS,COUNTY_NAME,VALUE
54003,BERKELEY,144
54007,BRAXTON,48
54011,CABELL,48
54015,CLAY,10
54021,GILMER,47
54023,GRANT,30
54027,HAMPSHIRE,139
54031,HARDY,71
54033,HARRISON,70
54035,JACKSON,278
54039,KANAWHA,81
54041,LEWIS,88
54049,MARION,124
54051,MARSHALL,32
54055,MERCER,100
54057,MINERAL,17
54061,MONONGALIA,29
54067,NICHOLAS,36
54073,PLEASANTS,9
54077,PRESTON,127
54083,RANDOLPH,20
54087,ROANE,63
54089,SUMMERS,53
54091,TAYLOR,48
54093,TUCKER,15
54097,UPSHUR,170
54099,WAYNE,125
54101,WEBSTER,16
54103,WETZEL,79
54105,WIRT,48
54107,WOOD,68
