FIPS,COUNTY_NAME,VALUE
54001,BARBOUR,406
54003,BERKELEY,1625
54005,BOONE,96
54007,BRAXTON,275
54011,CABELL,292
54013,CALHOUN,420
54015,CLAY,141
54017,DODDRIDGE,460
54019,FAYETTE,412
54021,GILMER,371
54023,GRANT,755
54025,GREENBRIER,1210
54027,HAMPSHIRE,1631
54031,HARDY,797
54033,HARRISON,536
54035,JACKSON,1226
54037,JEFFERSON,937
54039,KANAWHA,178
54041,LEWIS,481
54043,LINCOLN,92
54047,MCDOWELL,82
54049,MARION,724
54051,MARSHALL,540
54053,MASON,876
54055,MERCER,445
54057,MINERAL,563
54061,MONONGALIA,564
54063,MONROE,683
54065,MORGAN,107
54067,NICHOLAS,48
54069,OHIO,304
54071,PENDLETON,877
54073,PLEASANTS,86
54075,POCAHONTAS,59
54077,PRESTON,1180
54079,PUTNAM,630
54081,RALEIGH,342
54083,RANDOLPH,157
54085,RITCHIE,466
54087,ROANE,359
54089,SUMMERS,170
54091,TAYLOR,153
54093,TUCKER,65
54095,TYLER,129
54097,UPSHUR,329
54099,WAYNE,251
54101,WEBSTER,65
54103,WETZEL,203
54105,WIRT,216
54107,WOOD,262
