FIPS,COUNTY_NAME,VALUE
54001,BARBOUR,571
54003,BERKELEY,435
54005,BOONE,46
54007,BRAXTON,135
54011,CABELL,17
54013,CALHOUN,73
54017,DODDRIDGE,43
54019,FAYETTE,31
54021,GILMER,74
54023,GRANT,73
54025,GREENBRIER,43
54027,HAMPSHIRE,257
54031,HARDY,12
54033,HARRISON,165
54035,JACKSON,134
54037,JEFFERSON,49
54039,KANAWHA,91
54043,LINCOLN,11
54047,MCDOWELL,45
54049,MARION,60
54053,MASON,166
54057,MINERAL,86
54061,MONONGALIA,36
54063,MONROE,164
54065,MORGAN,20
54067,NICHOLAS,68
54073,PLEASANTS,48
54075,POCAHONTAS,5
54077,PRESTON,76
54079,PUTNAM,122
54081,RALEIGH,52
54083,RANDOLPH,112
54085,RITCHIE,183
54087,ROANE,159
54089,SUMMERS,66
54091,TAYLOR,77
54097,UPSHUR,253
54099,WAYNE,28
54103,WETZEL,18
54105,WIRT,19
54107,WOOD,229
