FIPS,COUNTY_NAME,VALUE
54001,BARBOUR,47
54003,BERKELEY,199
54005,BOONE,14
54017,DODDRIDGE,48
54019,FAYETTE,14
54023,GRANT,82
54025,GREENBRIER,349779
54031,HARDY,538440
54033,HARRISON,155
54035,JACKSON,20
54037,JEFFERSON,117
54041,LEWIS,28
54051,MARSHALL,6
54053,MASON,13
54055,MERCER,62
54057,MINERAL,7
54065,MORGAN,40
54067,NICHOLAS,13
54069,OHIO,17
54071,PENDLETON,552548
54075,POCAHONTAS,35
54077,PRESTON,94
54079,PUTNAM,28
54081,RALEIGH,16
54083,RANDOLPH,32
54085,RITCHIE,28
54087,ROANE,16
54089,SUMMERS,69
54093,TUCKER,14
54097,UPSHUR,61
54099,WAYNE,26
54101,WEBSTER,12
54103,WETZEL,33
54105,WIRT,11
54107,WOOD,98
